,회사명,거래소코드,회계년도,산업코드,회계년월,평가일,업종코드,소속코드,상장일,상장폐지일,신용등급,감사의견코드,감사의견,산업대분류,회계년도_new
101,(주)폴켐,33190,2009/12,032201,,,01,04,1997/11/10,2010/04/23,,DS,"선급금, 지분법적용투자주식, 관계회사간채권ㆍ채무 및 기타채권ㆍ채무에 대한 실재성 및 완전성과 평가의 적정성 확인 및 주석사항의 적성성 확인 등 중요한 감사절차를 취하지 못함.",03,2009
154,(주)아구스,78670,2009/12,032604,,,01,04,2007/07/27,2010/05/01,,DU,"당기 영업손실 3,304백만원, 당기순손실 7,401백만원 발생 및 유동비율 138.62%, 누적결손금 1,149백만원 임. 이러한 상황과 취약한 내부통제구조는  회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2009
87,(주)쌈지,33260,2009/12,031501,,,01,04,2001/02/01,2010/04/17,,DS,회사에 의한 감사범위의 제한 때문에 재고실사 입회와  미회수어음수표에 대한 감사절차 및 매출채권에 대한 조회절차를 수행할 수 없었음.,03,2009
82,(주)단성일렉트론,85990,2009/12,032902,,,01,04,2006/05/23,2010/05/08,,DS,회사에 의한 전반적인 감사범위의 제한 및 회사의 회계기록의 부실로 회계감사기준에서 요구하는 감사절차를 취하지 못하였음.,03,2009
273,(주)보홍,41320,2009/12,074605,,,01,04,2000/08/08,2010/05/08,,DS,"(주)유니씨앤텍과의 거래의 합리성(탄소나노튜브(CNT) 매입) 및 10,000백만원의 양도성예금증서 관련한 자산의 손상가능성, 우발채무의 발생가능성 등 취약한 내부통제구조 관련한 감사증거를 확보하지 못하였음.",07,2009
274,(주)에스피코프,48130,2009/12,074607,,,01,04,2001/11/22,2010/04/20,,DS,"내부통제구조의 중대한 취약성, GAAP에 따라 처리되지 않은 매출액 6,406,275천원, 주요 자산 및 부채에 대한 감사범위의 제한으로 회계감사기준에서 요구하는 감사절차를 취하지 못하였음.",07,2009
282,(주)소예,35010,2009/06,074607,,,01,04,1999/06/11,2009/11/03,,DU,"종속회사의 매출이 정상적으로 이루어지지 않고, 임직원불법행위미수금 40,381백만원이 발생하는 등 이러한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",07,2009
66,(주)휴리프,6210,2009/03,032605,2009/03,2007/04/24,01,04,1977/06/29,2009/07/15,CCC(+),DU,"총부채가 총자산을 23,630백만원 초과 및 수차례 유상증자를 실시하였으나 차입금 상환 및 운영자금에 필요한 자금이 부족한 상황은 계속기업으로서 존속능력에 중대한 의문을 제기함.",03,2009
283,(주)쏠라엔텍,30390,2009/12,074605,,,01,04,1997/02/12,2010/05/08,,DU,"매출액 3,099백만원, 영업손실 5,818백만원, 당기순손실 33,791백만원이 발생, 누적결손금 79,320백만원인 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",07,2009
164,(주)에이스일렉트로닉스,38690,2009/12,032602,,,01,04,2000/06/29,2010/04/17,,DU,"취약한 내부통제구조와  유동부채가 유동자산보다 3,827 백만원을 초과, 예적금계좌에 대한 가압류 및 유동성 부족 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2009
117,해원에스티(주),58480,2009/12,032401,,,01,04,2002/01/15,2010/05/08,,DS,"자금거래, 주식거래 및 특수관계자와의 비경상적 거래에 대한 내부통제의 취약, 관련된 거래의 진실성, 경영자진술의 완전성 등과 관련한 항목에 대해 합리적인 감사절차를 취할 수 없었음.",03,2009
248,(주)미디어코프,53890,2008/12,105801,,,01,04,2002/05/07,2009/04/11,,DU,"추가우발부채의 파악을 할 수 없고, 관련 주석사항을 미제출하였으며 당기순순실이 93,115백만원, 유동자산을 초과한 유동부채가 36,470백만원임. 이는 회사의 계속기업으로서 존속능력에 중대한 의문을 제기함.",10,2008
288,(주)위너스인프라인,5760,2008/10,074604,,,01,04,1976/04/01,2009/02/19,,DU,"채무 불이행으로 대부분의 자산이 압류 또는 가압류, 자료 미제시로 계정의 적정성에 대해 감사절차를 취하지 못하는 등의 상황은 계속기업으로서 존속능력에 중대한 의문을 제기함.",07,2008
249,(주)블루스톤디앤아이,33720,2008/12,105802,,,01,04,2000/06/27,2009/05/15,,DU,회사가 600억원으로 계상하고 있는 SMI현대의 지분법적용주식의 가치에 대한 합리적인 근거가 존재하지 않으며 회계정보의 불확실성이 존재함. 이는 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.,10,2008
209,우수씨엔에스(주),60550,2008/12,031401,,,01,04,2002/02/28,2009/04/11,,DU,"영업손실 42억원, 당기순손실 751억원 및 유동부채가 유동자산을 565억원 초과, 총부채가 총자산을 384억원 초과함. 이러한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
210,유리이에스(주),7050,2008/12,032902,,,01,04,1975/12/27,2009/04/15,,DU,"당기순손실 23,102백만원, 실재성 및 회수가능성을 확인할 수 없는 선급금 등 15,912백만원, 총자산을 초과하는 총부채액이 13,385백만원 등 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
260,(주)포넷,48270,2008/12,105801,,,01,04,2003/01/24,2009/05/04,,DU,자본완전잠식 및 용역매출 관련 자산을 타 사에 양도함으로 인하여 사업을 중단하는 등의 상황은 계속기업으로서 존속능력에 중대한 의문을 제기함.,10,2008
256,(주)지비에스,76170,2008/12,105901,,,01,04,2004/01/16,2009/04/22,,DU,"2009년 2월 20일 파산을 선고하였으며, 회사의 주된 영업인 극장을 임대하여 이렇다할 영업활동을 영위하고 있지 않음. 이러한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",10,2008
150,(주)쓰리소프트,36360,2008/12,032604,,,01,04,2001/01/18,2009/04/29,,DU,"당기순손실 29,272백만원이 발생하고, 총부채가 총자산을 22,179백만원 초과함. 또한 조기상환 청구된 일부 전환사채등도 상환하지 못함. 이러한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
60,(주)야호커뮤니케이션,59720,2008/12,106301,2008/12,2007/11/01,01,04,2002/01/17,2009/05/27,B-,DS,지분법적용투자주식에 대한 감사범위의 제한 때문에 회사가 제시한 재무제표에 대하여 회계감사기준에서 요구하는 감사절차를 취하지 못하였음.,10,2008
51,케이이엔지(주),77960,2008/12,032902,2008/12,2008/08/14,01,04,2004/10/29,2009/04/29,B,DU,"당기순손실 30,567백만원 발생, 유동자산을 초과하는 유동부채액 15,766백만원이며 회사 자산에 대해 가압류 및 지급명령 등의 상황이 발생함. 이는 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
62,(주)비에이치케이,3990,2008/12,074608,2008/12,2007/08/20,01,04,1976/12/22,2009/04/30,B-,DS,"감사범위 제한 때문에 현금흐름표, 재무제표에 대한 주석을 제시받지 못하였으며, 일부 계정에 대해서도 만족할 만한 감사를 실시하지 못하였음.",07,2008
63,(주)피더블유제네틱스,65910,2008/12,106201,2008/12,2007/07/17,01,04,2003/01/10,2009/04/18,B-,DU,"영업손실 5,830백만원, 당기순손실 33,608백만원, 유동자산을 초과하는 유동부채액 16,950백만원, 영업활동으로 인한 부의 현금흐름 3,340백만원임. 이는 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",10,2008
61,케이엠에이치(주),9690,2008/12,032803,2008/12,2007/10/31,01,04,1990/01/29,2009/05/13,P-B,DS,주식양수도계약과 관련하여 소명되지 아니한 어음에 대해 상환의무의 존재 여부 및 그 금액을 확인할 수 있는 증거를 수집할 수 없어 회계감사기준에서 요구하는 감사절차를 취하지 못하였음.,03,2008
112,케이엔에스홀딩스(주),36760,2008/12,032602,,,01,04,1999/12/10,2009/04/23,,DS,"자본변동표,  현금흐름표, 주석 미제시, 여러자산, 유동 및 비유동부채, 자본, 매출, 매출원가, 판매비와관리비, 영업외손익, 부외부채 및 우발상황 그리고 계속기업에 대한 감사절차를 수행할 수 없었음.",03,2008
67,(주)나노하이텍,71360,2008/12,032602,2008/12,2007/03/23,01,04,2003/10/24,2009/04/29,B+/Stable,DU,"실재성 및 회수가능성을 확인할 수 없는 선급금 등 23,970백만원이 있으며, 총자산을 초과하는 총부채액이 12,890백만원임. 이러한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
