,회사명,거래소코드,회계년도,산업코드,회계년월,평가일,업종코드,소속코드,상장일,상장폐지일,신용등급,감사의견코드,감사의견,산업대분류,회계년도_new
0,(주)샘코,263540,2020/12,033103,2020/12,2020/09/14,01,06,2017/09/15,,B-,DU,,03,2020
24,(주)좋은사람들,33340,2020/12,031401,2020/12,2015/06/05,01,06,1997/11/03,,BBB-,DS,,03,2020
1,(주)아이티엑스에이아이,99520,2020/12,032605,2020/12,2020/05/13,01,06,2009/12/22,,BB,DS,,03,2020
217,(주)씨엔플러스,115530,2020/12,032602,,,01,06,2011/11/02,,,DS,,03,2020
218,(주)코스온,69110,2020/12,032004,,,01,06,2003/10/14,,,DS,,03,2020
219,명성티엔에스(주),257370,2020/12,032902,,,01,06,2018/09/13,,,DS,,03,2020
221,테라셈(주),182690,2020/12,032601,,,01,06,2014/10/30,,,DS,,03,2020
222,(주)금빛,45890,2020/12,032804,,,01,06,2005/11/28,,,DU,,03,2020
223,(주)뉴로스,126870,2020/12,032901,,,01,06,2012/02/15,,,DU,,03,2020
225,(주)에코마이스터,64510,2020/12,032902,,,01,06,2018/03/15,,,DU,,03,2020
229,(주)센트럴인사이트,12600,2020/12,032901,,,01,03,1990/07/10,,,DS,,03,2020
230,쌍용자동차(주),3620,2020/12,033001,,,01,03,1975/05/21,,,DU,,03,2020
266,(주)소리바다,53110,2020/12,106301,,,01,06,2001/10/09,,,DS,,10,2020
267,(주)씨오더블유오엔,56000,2020/12,105802,,,01,06,2003/07/11,,,DS,,10,2020
268,(주)엔지스테크널러지,208860,2020/12,105802,,,01,06,2016/07/28,,,DS,,10,2020
271,(주)제이웨이,58420,2020/12,105901,,,01,06,2002/01/10,,,DU,,10,2020
293,(주)유테크,178780,2020/12,074608,,,01,06,2015/06/30,,,DS,,07,2020
294,(주)포티스,141020,2020/12,074709,,,01,06,2013/01/29,,,DS,,07,2020
298,파나케이아(주),58530,2020/12,074604,,,01,06,2002/02/05,,,DU,,07,2020
43,(주)성안,11300,2020/12,031302,2020/12,2009/09/15,01,03,1995/11/10,,BB-,DS,,03,2020
299,(주)폴루스바이오팜,7630,2020/12,074601,,,01,03,1988/10/24,,,DU,,07,2020
16,(주)한프,66110,2020/12,032603,2020/12,2017/07/25,01,06,2002/07/16,,B-,DS,,03,2020
3,현진소재(주),53660,2020/12,032509,2020/12,2020/02/20,01,06,2002/02/15,,CCC,DU,,03,2020
2,(주)온코퀘스트파마슈티컬,78590,2020/12,033003,2020/12,2020/04/23,01,06,2005/10/27,,BB0,DU,,03,2020
19,(주)아리온테크놀로지,58220,2020/12,032604,2020/12,2017/04/20,01,06,2005/08/05,,BB-,DU,,03,2020
9,(주)매직마이크로,127160,2020/12,032602,2020/12,2018/06/14,01,06,2015/11/19,,BB+,DU,,03,2020
296,애머릿지코퍼레이션,900100,2019/12,074502,,,01,06,2010/04/21,,,DU,,07,2019
297,지스마트글로벌(주),114570,2019/12,074608,,,01,06,2010/02/04,,,DU,,07,2019
4,(주)이큐셀,160600,2019/12,032902,2019/12,2019/09/26,01,06,2015/06/26,,BBB,DU,,03,2019
220,에이치엔티일렉트로닉스(주),176440,2019/12,032602,,,01,06,2016/11/28,,,DS,,03,2019
228,크로바하이텍(주),43590,2019/12,032601,,,01,06,2001/12/20,,,DU,,03,2019
227,코오롱티슈진(주),950160,2019/12,032101,,,01,06,2017/11/06,,,DU,,03,2019
190,(주)피앤텔,54340,2019/12,032604,,,01,04,2002/01/10,2020/05/21,,DU,,03,2019
161,(주)에스마크,30270,2019/12,031301,,,01,04,1997/01/17,2020/05/21,,DU,,03,2019
292,(주)엠피대산,65150,2019/12,074603,,,01,06,2007/07/18,,,DS,,07,2019
6,웅진에너지(주),103130,2019/12,032601,2019/12,2019/03/28,01,04,2010/06/30,2020/06/01,CCC,DU,,03,2019
7,(주)에스에프씨,112240,2019/12,032202,2019/12,2018/06/25,01,04,2011/11/30,2020/06/30,BB+,DS,,03,2019
224,(주)리드,197210,2019/12,032902,,,01,06,2015/11/20,,,DU,,03,2019
5,이엘케이(주),94190,2019/12,032602,2019/12,2019/04/02,01,04,2007/10/29,2020/05/22,D,DU,,03,2019
153,(주)씨티네트웍스,189540,2019/12,032604,,,01,04,2013/12/24,2020/05/12,,DU,,03,2019
269,(주)스포츠서울,39670,2019/03,105801,,,01,06,2004/01/16,,,DU,,10,2019
8,참존글로벌(주),158310,2019/12,032902,2019/12,2018/06/15,01,06,2013/04/03,,B-,DU,,03,2019
12,(주)화진,134780,2019/12,033003,2019/12,2018/04/17,01,04,2011/08/10,2020/07/02,BBB-,DS,,03,2019
265,(주)골드앤에스,35290,2019/12,105801,,,01,06,1999/12/07,,,DS,,10,2019
92,(주)엘피케이로보틱스,183350,2018/12,032902,,,01,04,2013/10/11,2020/06/17,,DS,,03,2018
11,(주)코다코,46070,2018/12,033003,2018/12,2018/04/25,01,06,2000/12/26,,BBB-,DS,,03,2018
83,(주)데코앤이,17680,2018/12,031401,,,01,04,1993/09/03,2019/11/20,,DS,,03,2018
13,씨앤티85(주),56730,2018/12,074607,2018/12,2018/04/11,01,06,2002/01/04,,B+,DS,,07,2018
270,(주)아이톡시,52770,2018/12,105802,,,01,06,2002/08/22,,,DU,,10,2018
226,(주)이엠앤아이,83470,2018/12,032202,,,01,06,2008/09/18,,,DU,,03,2018
18,(주)에프티이앤이,65160,2018/12,032005,2018/12,2017/05/12,01,04,2002/07/30,2019/05/03,B,DS,,03,2018
97,(주)주노콜렉션,221670,2018/12,031501,,,01,04,2017/06/27,2019/07/16,,DS,,03,2018
21,(주)파인넥스,123260,2018/12,032601,2018/12,2016/06/29,01,04,2011/12/05,2020/04/10,CCC,DU,,03,2018
295,아래스(주),50320,2018/12,074605,,,01,06,2002/01/15,,,DU,,07,2018
132,(주)바이오빌,65940,2018/12,032001,,,01,04,2003/01/07,2020/07/31,,DU,,03,2018
10,(주)하이소닉,106080,2018/12,032602,2018/12,2018/05/14,01,06,2010/02/09,,B,DU,,03,2018
205,에스엠로보틱스(주),252940,2017/12,033304,,,01,04,2016/09/30,2018/04/25,,DU,,03,2017
20,(주)우성아이비,194610,2017/12,033309,2017/12,2016/12/31,01,04,2014/06/10,2018/10/12,B+,DU,"영업손실이 14,794백만원 발생, 종속회사 지급보증액 미화 1,000천불(원화환산액 1,071백만원)에 대한 우발채무를 부담하고 있는 상황은 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2017
86,(주)모다,149940,2017/12,032604,,,01,04,2012/09/25,2020/07/10,,DS,,03,2017
240,(주)파티게임즈,194510,2017/12,105802,,,01,04,2014/11/21,2020/09/09,,DS,회사가 사채발행 및 유상증자와 직접적인 관련이 없는 경영자문수수료를 특수관계자인 ㈜대신피이아이 1호와 ㈜더에스피씨에게 지급 등의 거래와 관련한 충분하고적합한 감사증거를 확보하지 못하였음.,10,2017
236,(주)씨그널엔터테인먼트그룹,99830,2017/12,105901,,,01,04,2011/01/24,2018/05/04,,DS,,10,2017
251,(주)시냅스엠,246830,2017/12,106301,,,01,04,2016/07/13,2018/05/14,,DU,,10,2017
275,(주)위너지스,26260,2017/12,074608,,,01,04,1996/09/24,2018/10/11,,DS,,07,2017
17,(주)트레이스,52290,2017/12,032602,2017/12,2017/06/02,01,04,2001/05/31,2018/10/11,B-,DS,,03,2017
231,(주)넥스지,81970,2017/12,105802,,,01,04,2007/08/20,2018/10/11,,DS,,10,2017
99,(주)태경피엔에스,235090,2017/12,032902,,,01,04,2016/03/16,2018/05/09,,DS,,03,2017
22,(주)유디피,91270,2017/12,105802,2017/12,2016/01/04,01,04,2014/12/12,2018/04/18,BB,DU,,10,2017
90,(주)에스와이제이,251540,2017/12,031401,,,01,04,2017/05/02,2018/09/07,,DS,,03,2017
14,레이젠(주),47440,2017/12,032602,2017/12,2017/09/21,01,04,2001/11/20,2018/10/11,B,DU,,03,2017
147,(주)스틸플라워,87220,2017/12,032401,,,01,04,2009/10/27,2018/05/08,,DU,,03,2017
15,(주)지디,155960,2017/12,032602,2017/12,2017/08/18,01,04,2013/02/13,2018/10/12,B+,DS,,03,2017
91,(주)에임하이글로벌,43580,2017/12,032602,,,01,04,2001/08/02,2018/08/10,,DS,,03,2017
169,(주)엔에스브이,95300,2016/12,032901,,,01,04,2009/04/17,2017/09/12,,DU,자금거래 및 부정방지와 관련하여 충분하고 적합한 통제절차를 운영하지 않은 상황은 회사의 자금거래 및 부정방지와 관련된 내부회계관리제도의 전반적 신뢰성에 심각한훼손이 있는 상황임.,03,2016
23,(주)썬코어,51170,2016/12,032901,2016/12,2015/12/00,01,04,2001/10/23,2018/03/15,B+,DU,"35,148백만원의 당기순손실로 인하여 일부 자본잠식이 발생하였으며 유동부채가 유동자산을 10,449백만원 초과한 상황등은 회사의 계속기업으로서의 존속능력에 유의적인 의문을 제기함.",03,2016
121,(주)넥솔론,110570,2016/12,032601,,,01,04,2011/10/14,2017/04/17,,DU,"영업손실이 43,702백만원, 당기순손실이 66,305백만원 발생, 총부채가 총자산을 50,826백만원 초과한 상황등은 회사의 계속기업으로서의 존속능력에 유의적인 의문을 제기함.",03,2016
148,(주)신양오라컴디스플레이,86830,2016/12,032604,,,01,04,2006/12/27,2017/05/08,,DU,"봉안당 대리매매 계약 및 매도계약의 체결, 커미스의 봉안당 매수계약 체결, 자금부족 등의 이유로 거래처에 대한 매입채무를 지급하지 못하는 등의 상황은 회사의 계속기업 존속능력에 유의적 의문을 제기함.",03,2016
163,(주)에스에스컴텍,36500,2016/12,032001,,,01,04,1999/12/14,2017/05/11,,DU,"차입금 원금 및 이자의 지급기일을 미준수하여 주요 자산에 경매가 진행중이며, 5개년도 연속 영업손실이 발생하여 상장폐지 사유가 존재하는 상황등은 회사의 계속기업으로서의 존속능력에 유의적 의문을 제기함.",03,2016
111,제이앤유글로벌,86200,2015/12,032604,,,01,04,2006/06/07,2016/05/09,,DS,"식품사업부 영업 및 특수관계자 거래를 포함한 채권/채무의 실재성, 완전성 등에 대한 평가를 위한 충분하고 적합한 감사증거를 입수할 수 없었음. 대체적인 방법에 의해서도 만족할 만한 결과를 얻지 못하였음.",03,2015
32,(주)아이팩토리,53810,2015/12,032902,2015/12,2013/04/30,01,04,2002/07/19,2016/09/19,CCC,DS,"일부자산관련 등 감사증거 미확보 및 수익인식 미충족 매출 2,199백만원을 계상, 과거 대표이사로부터 당기중 환수한 800백만원을 판매비와관리비의 차감항목으로 계상, 퇴직급여는 142백만원 과소계상 함.",03,2015
156,(주)아이디에스,78780,2015/12,032602,,,01,04,2005/11/29,2016/04/28,,DU,"영업손실이 8,889백만원, 당기순손실이 1,975백만원, 유동부채가 유동자산을 31,885백만원 초과함. 이런 상황 등은 회사의 계속기업으로서의 존속능력에 유의적인 의문을 제기함.",03,2015
96,(주)인포피아,36220,2015/12,032103,,,01,04,2007/06/05,2016/05/09,,DS,"임ㆍ직원에 의한 18,012백만원의 횡령 및 배임혐의가 발생으로 내부통제에 심각한 취약점이 존재하며, 이와 관련한 부외부채의 존재가능성 및 우발상황과 관련하여 충분하고 적합한 감사증거를 확보할 수 없었음.",03,2015
25,현대페인트(주),11720,2015/12,032004,2015/12,2015/04/09,01,04,1989/05/30,2016/11/21,B0,DU,"당기의 영업손실이 4,552백만원 발생하였으며, 당기말 현재 유동부채가 유동자산을1,573백만원을 초과함. 이런 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2015
189,(주)플렉스컴,65270,2015/12,032602,,,01,04,2002/10/23,2016/04/12,,DU,"영업손실이 55,342백만원, 당기순손실이 136,715백만원, 당기말 현재 총부채가 총자산을 36,298백만원 초과함. 이런 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2015
39,에이스하이텍(주),71930,2014/12,032602,2014/12,2010/05/17,01,04,2004/01/16,2015/07/10,CC,DS,자산과 부채의 일부 계정과목에 대한 실질과 적정성을 확인하기 위한 절차를 수행할 수 없었으며 이에 따라 부정과 오류로 인해 재무제표가 왜곡표시 되었는지에 대한 충분하고 적합한 감사증거를 확보할 수 없었음.,03,2014
172,(주)와이즈파워,40670,2014/12,032802,,,01,04,2000/08/18,2015/07/16,,DU,"당기말 현재 회사제시 당기순손실은 2,014백만원임. 또한, 유동부채가 유동자산을 3,518백만원 초과하고 있음. 이런 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2014
212,잘만테크(주),90120,2014/12,032603,,,01,04,2007/05/22,2015/05/13,,DU,"유동성 악화 및 경영실적 악화로 정상적 영업활동 유지가 불가능한상황에 회생절차를 진행되었으나, 청산가치가 계속기업가치를 초과하여 회생절차의 계속적인 유지가 불가능해질수도 있은 상황임.",03,2014
26,(주)웹솔루스,160350,2014/12,105802,2014/12,2014/11/13,01,04,2013/07/01,2015/04/30,B0,DU,"당기순손실이 5,914백만원, 총부채가 총자산을 초과하고, 총 16,282백만원의 장단기차입금, 사채, 전환사채를 계상한 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",10,2014
203,스탠다드펌(주),179280,2014/12,032402,,,01,04,2013/07/01,2015/04/30,,DU,"당기말 현재 영업손실이 8,077백만원이며 당기순손실이 11,373백만원 발생하였음. 당기말 현재로 유동부채가 유동자산을 3,172백만원 초과하고 있으며 총부채가 총자산을 2,797백만원 초과하고 있음.",03,2014
254,(주)제너시스템즈,73930,2013/03,105802,,,01,04,2008/03/26,2013/07/12,,DU,"25,028백만원이 발생, 유동자산을 초과한 유동부채액이 26,145백만원, 그리고 총자산을 초과한 총부채액이 14,384백만원인 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",10,2013
129,(주)모린스,110310,2013/12,032602,,,01,04,2009/09/25,2014/04/11,,DU,"영업손실액은 58,773백만원, 부채에 정상적인 지급을 하지 못하여 유형자산 등에 가압류 등이 되어 있으며 이와 관련한 소송들이 진행중인 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2013
107,디브이에스코리아(주),46400,2013/12,032605,,,01,04,2002/10/01,2014/09/02,,DS,회사에 의한 감사범위의 제한으로 인하여 매출채권 회수와 관련한 회계감사기준에서 요구하는 감사 절차를 취하지 못하였음.,03,2013
125,(주)로케트전기,420,2013/12,032802,,,01,04,1988/08/05,2015/02/24,,DU,"당기순손실 23,982백만원이 발생하였고, 유동자산을 초과한 유동부채액이 35,494백만원인 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2013
155,(주)아라온테크,41060,2013/12,032902,,,01,04,2000/06/07,2014/05/08,,DU,"2013년 10월 23일 횡령 배임 혐의발생 및 코스닥시장상장규정 제38조제2항제5호의 종합적 요건에 의한 상장폐지 가능성 등에 의해 상장적격성 실질심사 대상으로 결정, 특허권 및 금융보증채무 감사범위제한이 있음.",03,2013
27,STX조선해양(주),67250,2013/12,033101,2013/12,2013/12/12,01,04,2003/10/27,2014/04/15,CCC,DS,당기 재무제표를 감사하는 과정에서 당기 및 전기 이전 재무제표에 중요한 영향을 미치는 왜곡표시 가능성을 인지하였으나 충분하고 적합한 감사증거를 확보하지 못하였음.,03,2013
28,태산엘시디(주),36210,2013/12,032602,2013/12,2013/08/30,01,04,1999/11/16,2014/04/11,CCC-,DU,"채권금융기관협의회의 공동관리절차가 2013년 12월 31일로 중단되어 유동성장기차입금 149,650백만원이 연체, 부채가 자산을 45,669백만원 초과하고 있는 완전자본잠식인 상태임.",03,2013
29,제이에스전선(주),5560,2013/12,032803,2013/12,2013/06/27,01,04,2007/11/12,2014/04/10,A0,DU,"2014년 1월 6일 이사회 결의를 통한 영업정지 공시, 이에 따른 신규 사업수주 중단, 기수주분에 대한 계약 이행 및 진행중인 소송에 대응할 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2013
30,에버테크노(주),70480,2013/12,032902,2013/12,2013/05/30,01,04,2007/05/22,2014/07/17,BB-,DU,"당기순손실 28,191백만원 발생, 유동부채가 유동자산을 39,629백만원 초과하며 미처리결손금은 16,561백만원인 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2013
31,(주)디지텍시스템스,91690,2013/12,032603,2013/12,2013/05/00,01,04,2007/07/04,2015/01/21,BBB0,DU,"당기순손실 89,368백만원 발생, 유동자산을 초과하는 유동부채액이 45,795백만원, 회생절차 개시신청한 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2013
33,(주)렉스엘이앤지,4790,2013/12,032605,2013/12,2012/06/29,01,04,1995/12/23,2014/03/04,B-(STABLE),DU,2013년 8월 30일부터 회사의 주식은 한국거래소 코스닥시장에서 주된 영업의 정지 사유로 상장적격성 실질심사 대상으로 결정 거래정지된 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.,03,2013
165,(주)에이제이에스,13340,2013/12,032509,,,01,04,1989/09/06,2014/09/02,,DU,"회사의 경영자로부터 경영자가 서명한 경영자확인서, 재무상태표, 포괄손익계산서, 자본변동표, 현금흐름표, 재무제표에 대한 주석 및 내부회계관리제도에 관한 운영실태 보고서를 제출받지 못하였음.",03,2013
257,(주)지아이바이오,35450,2012/12,106201,,,01,04,1999/11/11,2013/08/07,,DU,"관계기업투자주식의 범위제한, 지급보증채무 발생의 불확실성 및 결손금과 당기순손실은 각각 35,964백만원과 4,786백만원인 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",10,2012
34,(주)마이스코,88700,2012/12,032509,2012/12,2012/04/24,01,04,2008/01/25,2013/05/04,B-,DU,2013년 3월 15일자로 회생개시신청서를 법원에 제출한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.,03,2012
35,(주)삼우이엠씨,26250,2012/12,032501,2012/12,2012/03/00,01,04,1995/11/04,2013/04/12,B+,DU,"회사에 의한 감사범위의 제한 때문에  채권 및 채무에 대한 조회를 실시할 수 없었으며,  2012년 12월 17일자로 회생절차개시 신청을 한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2012
110,우경(주),25920,2012/12,032401,,,01,04,1995/08/07,2013/07/10,,DS,"중요한 내부통제의 취약점으로 인하여 부외부채, 종속회사 및 거래처의 대여금 및 선급금 회수가능성, 선급금 및 대여금과 대손상각비의 분류 적정성 및 거래 적정성에 대하여 충분한 감사 증거를 확보할 수 없었음.",03,2012
81,(주)네오퍼플,28090,2012/12,031007,,,01,04,1996/11/29,2013/05/03,,DS,"당기순손실 13,254백만원(영업손실 4,588백만원)이 발생한 상황은 회사의 계속기업으로서 존속능력에 중대한 의문을 제기하는 사항이나, 이러한 계속기업 불확실성을 해소할 만한 감사증거를 확보하지 못하였음.",03,2012
276,(주)지앤에스티,36920,2012/12,074601,,,01,04,1999/12/21,2013/05/07,,DS,"매출 및 매출채권 2,150,000천원을 과대계상, 매출원가 716,667천원을 과대계상하고, 재고자산 716,667천원을 과소계상 등으로 인하여 영업손익 및 당기순손익이 1,947,146천원 감소되어야 함.",07,2012
124,(주)디에스,51710,2012/12,032602,,,01,04,2004/06/18,2013/05/01,,DU,"3년 연속 손실을 기록하고 있고, 당기말 현재의 유동부채는 유동자산을 87,225백만원 초과한 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2012
94,(주)위다스,56810,2012/12,032604,,,01,04,2002/01/15,2013/09/10,,DS,자금운영과 관련하여 특수관계자 및 관계회사 등과 적절한 내부통제 절차를 거치지 않은 자금 거래에 대해 합리적인 지출원인 및 정상적인 영업관련성 여부를 확인할 수 있는 충분한 감사증거를 제시받지 못하였음.,03,2012
158,(주)아큐텍,13780,2012/12,032602,,,01,04,1997/08/18,2013/04/23,,DU,"재무제표 및 주석에 대한 감사절차 실시에 필요한 자료를 제공받지 못하였으며, 금융기관 및 매출채권에 대한 조회절차 등을 포함한 회계감사기준에서 요구하는 감사절차를 취하지 못하였음",03,2012
159,(주)알앤엘바이오,3190,2012/12,032101,,,01,04,1976/06/14,2013/05/03,,DU,"주된 영업활동인 줄기세포의 추출, 배양, 보관 및 불출 행위가 국내 및 해외 관계 법률 및 제규정에 적법한 지에 대하여 중대한 불확실성 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2012
162,(주)에스비엠,37630,2012/12,032901,,,01,04,1999/12/24,2013/07/24,,DU,"최대주주의 변경 후 내부회계관리제도의 취약점 발생, 예금잔액 실사에 대한 감사범위의 제한 및 횡령의 발생과 관련한 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2012
280,(주)룩손에너지홀딩스,33550,2012/12,074605,,,01,04,1998/01/13,2013/05/07,,DU,"당기순손실 10,076백만원 발생, 유동자산을 초과한 유동부채액이 16,663백만원,  만기가 경과한 금융기관 차입금은 13,567백만원이 존재하는 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",07,2012
278,케이비물산(주),8540,2012/01,074607,,,01,04,1990/01/16,2012/06/08,,DS,내부통제제도의 취약점으로 회사의 전 대표이사 및 기타 이해관계자간에 발생한 자금거래 및 우발부채의 완전성과 발생가능성 그리고 자산의 손상가능성에 대하여 중요한 감사절차를 수행하지 못하였음.,07,2012
277,글로스텍(주),12410,2012/12,074605,,,01,04,1989/09/29,2013/06/04,,DS,회사 경영자로부터 현금흐름표 및 재무제표에 대한 주석자료를  제공받지 못하였음.,07,2012
186,(주)평산,89480,2011/12,032509,,,01,04,2006/08/22,2012/04/13,,DU,"당기말 당기순손실 103,961백만원 발생, 유동자산을 초과한 유동부채 231,521백만원, 매출액 전기 대비 19%, 4분기매출액 전년 대비 27% 감소 등 이러한 사항은 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2011
130,(주)미성포리테크,94700,2011/12,032602,,,01,04,2007/12/20,2012/04/13,,DU,"2011년 12월 28일 회생절차개시결정이 발효. 당기말 당기순손실 28,776백만원, 최근 3개사업연도 법인세비용차감전순손실 발생. 이러한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2011
137,(주)블루젬디앤씨,53040,2011/12,032004,,,01,04,2001/08/09,2012/05/17,,DU,상장폐지실질심사위원회의 심의결과 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정함. 이러한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.,03,2011
134,(주)보광티에스,66690,2011/12,032509,,,01,04,2008/10/06,2012/05/01,,DU,"당기말 영업손실 22,011백만원 발생, 유동부채는 유동자산을 6,880백만원 초과, 상환하지 못한 차입금 3,120백만원 존재함. 이러한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2011
170,(주)엘앤씨피,15390,2011/12,032004,,,01,04,2001/08/09,2012/04/13,,DU,"당기 영업손실 3,844백만원, 당기순손실 4,662백만원 발생. 영업활동의 부진으로 인하여 당해 매출액 전기 대비 79% 감소. 이러한 사항은 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2011
168,(주)에피밸리,68630,2011/12,032604,,,01,04,2005/10/27,2012/04/24,,DU,2011년 8월 24일 회생계획에 대한 공개M&A 매각절차를 달성하지 못함. 2011년 10월 13일 상장폐지실질심사위원회 심의결과 상장폐지기준에 해당. 이러한 사항은 계속기업으로서의 존속능력에 중대한 의문을 제기함.,03,2011
204,아이스테이션(주),56010,2011/12,032602,,,01,04,2002/08/13,2012/04/13,,DU,"당기말 당기순손실 39,832백만원 발생, 유동자산을 초과하는 유동부채 26,573백만원, 총자산을 초과하는 총부채 25,118백만원 등 이러한 상황은 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2011
192,(주)허메스홀딩스,12400,2011/12,032604,,,01,04,1988/06/15,2012/06/12,,DU,"영업손실 4,006백만원,당기순손실 5,706백만원 발생.유동부채가 유동자산을 7,355백만원 초과,현금및현금성자산 1,146백만원 사용제한 및 압류됨.이러한 상황은 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2011
188,(주)폴리플러스,65610,2011/12,032001,,,01,04,2002/12/06,2012/05/01,,DU,최대주주 등의 주식처분제한의무 위반으로 사채권자는 신주인수권부사채 30억원의 조기상환청구가 가능하나 회사는 실현가능한 자구계획이 존재치 않음. 이는 계속기업으로서의 존속능력에 중대한 의문을 제기함.,03,2011
196,동양텔레콤(주),7150,2011/12,032605,,,01,04,2000/07/25,2012/09/11,,DU,"당기말 영업손실 4,472백만원, 당기순손실 42,445백만원 발생. 유동자산을 초과한 유동부채 19,418백만원, 유동성차입금 등이 38,472백만원임. 이러한 상황은 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2011
258,(주)코아에스앤아이,52350,2011/12,106201,,,01,04,2001/07/20,2012/04/17,,DU,최근 4사업연도 영업손실및당기순손실 발생. 2012년1월30일 코스닥시장상장규정 제38조 제2항제5호 상장폐지기준에 의해 상장 폐지통보를 받음. 이러한 사항은 계속기업으로서의 존속능력에 중대한 의문을 제기함.,10,2011
95,(주)유니드코리아,110500,2011/12,032902,,,01,04,2011/06/17,2014/09/02,,DS,"2015년 중 2011회계연도 이전에 발생된 고의적 회계부정, 횡령, 유용 등의 부정이 발견되어 재무제표상 중요한 영향을 미치는 왜곡표시 가능성을 인지하였으나 충분하고 적합한 감사증거를 확보할 수 없었음.",03,2011
36,(주)비앤비성원,15200,2011/12,032401,2011/12,2011/03/29,01,04,1997/01/17,2012/05/01,B+/STABLE,DS,"감사범위 제한 때문에 자금 거래의 적정성,대손충당금의 적정성 및 우발채무의 발생가능성, 종속기업 및 관계기업에서 발생한 대여금 거래에 대한 회수가능성에 대하여 만족할 만한 감사절차를 취하지 못하였음.",03,2011
285,(주)아인스엠앤엠,40740,2011/12,074705,,,01,04,2004/01/28,2012/05/01,,DU,"34,940백만원의 영업손실과 58,790백만원의 당기순손실이 발생하였고, 총부채가 총자산을 26,720백만원 초과함. 이러한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",07,2011
37,미리넷(주),56710,2011/12,032604,2011/12,2010/07/13,01,04,2002/01/10,2012/04/13,B-,DU,"당기말 영업손실 20,318백만원, 당기순손실 91,215백만원 발생, 유동부채가 유동자산을 56,531백만원, 총부채가 총자산을 55,659백만원 초과 등 이러한 상황은 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2011
201,미주제강(주),2670,2011/12,032401,,,01,04,1995/01/04,2012/04/17,,DU,"당기말 영업손실 6,593백만원 발생, 당기말 유동부채는 유동자산을 25,927백만원 초과, 누적결손금 42,985백만원임. 이러한 사항은 회사의 계속기업으로서의 존속능력에 대해 중대한 의문을 제기함.",03,2011
38,(주)대국,42340,2011/12,074608,2011/12,2010/05/20,01,04,2000/06/22,2012/04/13,CCC,DU,"당기말 시급히 상환해야 할 차입금 원리금이 9,243백만원에 이르나, 회사의 영업활동을 통한 현금흐름은 지속적으로 적자를 시현하고 있음. 이러한 상황은 계속기업으로서의 존속능력에 중대한 의문을 제기함.",07,2011
89,(주)씨티앤티,50470,2011/12,033001,,,01,04,2002/04/23,2012/05/01,,DS,"경영자확인서, 자본변동표, 현금흐름표, 재무제표에 대한 주석자료 미제시로 인한 감사범위의 제한 때문에 회계감사기준에서 요구하는 감사절차를 취하지 못하였음.",03,2011
179,(주)지앤알,43630,2010/12,032801,,,01,04,2000/07/04,2011/04/29,,DU,"영업손실 15,719백만원, 당기순손실 25,149백만원, 누적결손금 39,154백만원 발생 등 이러한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기 함.",03,2010
